,AAPL,MSFT,AMZN,BRK-A,JPM,JNJ,WMT,BAC,PG,XOM
2009-01-27,11.277750968933105,13.58165454864502,48.439998626708984,86112.0,19.35536003112793,41.1883544921875,37.255706787109375,5.8128275871276855,40.40149688720703,55.83095932006836
2009-01-28,11.70907211303711,13.8739013671875,50.36000061035156,90300.0,21.363496780395508,41.91850662231445,37.209903717041016,6.608733654022217,41.456077575683594,56.064430236816406
2009-01-29,11.55991268157959,13.527820587158203,50.0,87400.0,19.64112663269043,41.71806335449219,36.54557418823242,6.0632243156433105,41.48457336425781,54.472686767578125
2009-01-30,11.203171730041504,13.150981903076172,58.81999969482422,89502.0,19.70292091369629,41.29573059082031,35.980506896972656,5.884366989135742,38.83388137817383,54.104820251464844
2009-01-31,11.203171730041504,13.150981903076172,58.81999969482422,89502.0,19.70292091369629,41.29573059082031,35.980506896972656,5.884366989135742,38.83388137817383,54.104820251464844
2009-02-01,11.203171730041504,13.150981903076172,58.81999969482422,89502.0,19.70292091369629,41.29573059082031,35.980506896972656,5.884366989135742,38.83388137817383,54.104820251464844
2009-02-02,11.374706268310547,13.712398529052734,61.150001525878906,89400.0,19.463491439819336,41.29573059082031,35.5605354309082,5.365684509277344,37.800697326660156,54.25336456298828
2009-02-03,11.557426452636719,14.227668762207031,63.59000015258789,90500.0,18.575275421142578,41.93282699584961,36.507389068603516,4.739688873291016,38.413490295410156,55.265018463134766
2009-02-04,11.628278732299805,14.327642440795898,61.060001373291016,90290.0,18.56755828857422,41.4890022277832,35.44599533081055,4.203119277954102,37.42304992675781,54.9395866394043
2009-02-05,11.989989280700684,14.642967224121094,63.18000030517578,87020.0,18.953733444213867,41.59636306762695,37.08008575439453,4.3283185958862305,37.99307632446289,56.43934631347656
2009-02-06,12.395209312438965,15.119787216186523,66.55000305175781,89350.0,21.340328216552734,41.88270568847656,37.89712905883789,5.481942176818848,38.477603912353516,57.12192153930664
2009-02-07,12.395209312438965,15.119787216186523,66.55000305175781,89350.0,21.340328216552734,41.88270568847656,37.89712905883789,5.481942176818848,38.477603912353516,57.12192153930664
2009-02-08,12.395209312438965,15.119787216186523,66.55000305175781,89350.0,21.340328216552734,41.88270568847656,37.89712905883789,5.481942176818848,38.477603912353516,57.12192153930664
2009-02-09,12.742009162902832,14.950587272644043,66.70999908447266,90000.0,21.06999397277832,41.87554168701172,37.62986373901367,6.161593437194824,37.72230529785156,56.510475158691406
2009-02-10,12.16028118133545,14.458385467529297,63.310001373291016,88100.0,19.01551628112793,40.60854721069336,36.43865203857422,4.972202301025391,36.66061782836914,54.135704040527344
2009-02-11,12.034738540649414,14.773703575134277,64.3499984741211,90400.0,20.150896072387695,41.03804016113281,36.828102111816406,5.428285121917725,36.453975677490234,53.026546478271484
2009-02-12,12.339273452758789,14.812150955200195,63.959999084472656,89182.0,20.22812843322754,41.36015701293945,36.751747131347656,5.249427318572998,36.53947448730469,53.481571197509766
2009-02-13,12.325603485107422,14.681418418884277,63.2599983215332,88140.0,19.0695858001709,40.87338638305664,35.52998733520508,4.981143474578857,36.40410232543945,53.033660888671875
2009-02-14,12.325603485107422,14.681418418884277,63.2599983215332,88140.0,19.0695858001709,40.87338638305664,35.52998733520508,4.981143474578857,36.40410232543945,53.033660888671875
2009-02-15,12.325603485107422,14.681418418884277,63.2599983215332,88140.0,19.0695858001709,40.87338638305664,35.52998733520508,4.981143474578857,36.40410232543945,53.033660888671875
2009-02-16,12.325603485107422,14.681418418884277,63.2599983215332,88140.0,19.0695858001709,40.87338638305664,35.52998733520508,4.981143474578857,36.40410232543945,53.033660888671875
