,AAPL,MSFT,AMZN,BRK-A,JPM,JNJ,WMT,BAC,PG,XOM
2017-05-08,146.79861450195312,65.71694946289061,949.0399780273438,247160.0,81.12142944335938,114.50261688232422,71.56502532958984,22.71529960632324,80.08370208740234,73.83753204345703
2017-05-09,147.73880004882812,65.81226348876953,952.8200073242188,246000.0,80.79546356201172,114.46544647216795,72.1291275024414,22.73426055908203,79.94489288330078,73.32088470458984
2017-05-10,147.03846740722656,66.06963348388672,948.9500122070312,245850.0,81.42879486083984,114.09384155273438,72.59288024902344,22.895427703857425,80.0281753540039,73.65359497070312
2017-05-11,148.31008911132812,65.25936126708984,947.6199951171876,245240.0,81.17731475830078,114.4561538696289,72.05340576171875,22.8195858001709,79.73208618164062,74.28303527832031
2017-05-12,150.38131713867188,65.18312072753906,961.3499755859376,245220.0,80.95379638671875,114.86492919921876,71.65589904785156,22.75321960449219,79.75059509277344,74.22909545898438
2017-05-13,150.38131713867188,65.18312072753906,961.3499755859376,245220.0,80.95379638671875,114.86492919921876,71.65589904785156,22.75321960449219,79.75059509277344,74.22909545898438
2017-05-14,150.38131713867188,65.18312072753906,961.3499755859376,245220.0,80.95379638671875,114.86492919921876,71.65589904785156,22.75321960449219,79.75059509277344,74.22909545898438
2017-05-15,149.99598693847656,65.23078155517578,957.969970703125,245800.0,81.344970703125,117.9771728515625,72.20482635498047,22.81010437011719,79.88014221191406,74.4538803100586
2017-05-16,149.7744140625,66.54423522949219,966.0700073242188,245701.0,81.59642791748047,118.70181274414062,71.08802795410156,22.743741989135746,79.79685974121094,74.22909545898438
2017-05-17,144.74563598632812,64.69391632080078,944.760009765625,243110.0,78.48567199707031,117.67987823486328,71.09750366210938,21.397512435913086,79.81536102294922,73.72552490234375
2017-05-18,146.9517364501953,64.91440582275389,958.489990234375,242510.0,78.19696807861328,117.95860290527344,73.38790130615234,21.55867958068848,79.45451354980469,73.50971221923828
2017-05-19,147.4526824951172,64.89523315429689,959.8400268554688,244910.0,78.96067810058594,117.98646545410156,74.55203247070312,21.85257339477539,79.79685974121094,73.67158508300781
2017-05-20,147.4526824951172,64.89523315429689,959.8400268554688,244910.0,78.96067810058594,117.98646545410156,74.55203247070312,21.85257339477539,79.79685974121094,73.67158508300781
